Year,Month,Day,Location,Description,Credit,Clean_Description,Cluster,PC1,PC2
1912,Sep,25,Pico B,Haze spreading from W end of crater,Pickering,haze spread w end crater,0,-0.1210034890509551,-0.06530096210223281
1913,Mar,22,,During eclipse totality,there remained visible to the NW only a luminous point not much larger than the planet Mars and of the same color (Lunar eclipse),eclips total,0,-0.1297374252172174,-0.05994142289986439
1913,Jun,15,South,Distinct small reddish spot,Maw,distinct small reddish spot,0,0.06070443639351963,-0.11002289757944389
1915,Jan,31,Littrow,Seven white spots arranged like a Greek gamma,Burgess,seven white spot arrang like greek gamma,2,0.16457238541811905,-0.1558756734123538
1915,Apr,21,S of Posidonius,Noticed special occurrence S of large circle Posidonius which he took as evidence of water vapor,Houdard,notic special occurr larg circl posidoniu took evid water vapor,0,-0.12548268996799933,-0.04495812215252668
1915,Apr,23,Clavius,Narrow,straight beam of light from crater A to crater B,narrow,0,-0.11410029397912765,-0.03180090444102367
1915,Dec,11,Mare Crisium,Particularly bright spot like star on N shore,Thomas,particularli bright spot like star n shore,2,0.39937699291840867,-0.14287508329089357
1916,Oct,10,Plato,Pickerings craterlet No.59 involved in reddish shadow and disappeared. Usually distinctly seen under similar illumination.,Maggini,picker craterlet involv reddish shadow usual distinctli seen similar,0,-0.14625599732287284,-0.07315404999652772
1917,Jan,8,Dionysius,Point on rim of crater shone like a small star for sometime after entering the eclipse shadow (Lunar eclipse),W.F.A. Ellison,point rim crater shone like small star sometim enter eclips shadow,0,-0.11523389141378101,-0.14995874153586908
1919,Nov,7,Tycho,vicinity,Long ray in direction of Longomontanus remained visible glowing in weak gray-green light during whole eclipse (until clouds stopped observation) (Lunar eclipse),vicin,0,-0.11410029397912765,-0.03180090444102367
1922,Nov,28,La Hire: 20 min,Shadow cut through by white streak,H.P. Wilkins,shadow cut white streak,0,-0.1516012267619202,-0.1062870399739827
1927,May,12,Peirce A (Wilkins Graham),Complete obscuration of crater,H.P. Wilkins,complet obscur crater,1,-0.13200555709822098,-0.08985347485374728
1927,Dec,23,Peirce A (Wilkins Graham),Invisible,H.P. Wilkins,invis,0,-0.12249067706974735,-0.038518773564161196
1931,Feb,22,Aristarchus,Reddish-yellow,Joulia,,0,-0.11410029397912765,-0.03180090444102367
1931,Mar,27,Tycho,Central mountain gray although crater interior was in full shadow,Barker,central mountain gray although crater interior full shadow,0,-0.14219471111838344,-0.07629117597886684
1932,Apr,15,Plato,Sudden appearance of white spot like cloud,Goddard and friend,sudden appear white spot like cloud,0,0.03271285650831734,-0.13176717796792498
1933,Mar,30,Aristarchus region,White,Douillet,white,0,-0.12384953704678901,-0.07794217979468236
1933,Sep,1,Neighbourhood of Pico,and Pico B,Haze observed,pico b,0,-0.1214532955254451,-0.03584541940016018
1933,Oct,1,Neighbourhood of Pico,and Pico B,Haze observed,pico b,0,-0.1214532955254451,-0.03584541940016018
1936,May,4,Eratosthenes,Detected small bright spots on crater floor,Martz,detect small bright spot crater floor,2,0.30693935544821077,-0.16623482215404983
1936,Oct,4,Eratosthenes,Many small bright spots on crater floor,some of which Martz detected,mani small bright spot crater floor,2,0.2136189455030519,-0.14079852508203614
1936,Oct,25,Eratosthenes,Small bright spots on floor of crater,Haas,small bright spot floor crater,2,0.30693935544821077,-0.16623482215404983
1937,Feb,14,Cassini,Bright spot,Andrenko,bright spot,2,0.8231119119164837,-0.10701441993494196
1937,Sep,17,Aristarchus,Bright streak,H.M. Johnson,bright streak,0,0.19065407306451776,-0.05242362549723387
1937,Sep,28,Riccioli,Color of dark area was deep purple: next night same with vivid hue,Haas,color dark area deep next night vivid hue,1,-0.12460150848151719,-0.006770047666030348
1937,Oct,26,Alphonsus,Herschel,and Ptolemaeus,herschel,0,-0.11410029397912765,-0.03180090444102367
1937,Dec,12,Plato,Strongly marked streak of orange-brown on E wall,Barker,strongli mark streak e wall,0,-0.020298016231544903,0.05228722464102722
1938,Jan,16,Plato,Brownish gold-veined surface of color irregularly laid on smooth floor of crater,Barker,brownish surfac color irregularli laid smooth floor crater,0,-0.15040686985794524,-0.09047889023221377
1938,Feb,14,Plato,Golden-brown spot on E wall very prominent,with a yellowish glow without a definite boundary spreading over floor of crater,spot e wall promin,2,0.4997280329485491,0.09309670275892563
1939,Feb,23,Aristarchus,Bright spot,Andrenko,bright spot,2,0.8231119119164837,-0.10701441993494196
1939,Mar,29,Wilkins,Wilkins 1954,,wilkin,0,-0.11410029397912765,-0.03180090444102367
1939,Aug,2,Schickard,Dense fog,Moore,dens fog,0,-0.1229930709752502,-0.03413692154873763
1939,Oct,19,Macrobius,Floor of crater reddish-brown,a hue ordinarily absent,floor crater,0,-0.15053669389815308,-0.14269052865733722
1939,Dec,27,Aristarchus,Slight bluish tinge on the still brilliant W wall,Barcroft,slight bluish ting still brilliant w wall,0,-0.041871889887032054,0.06912357032143175
1940,May,20,Schickard,Whitish obscuration: less dense than 1939,Aug,whitish less dens,0,-0.12492257766342511,-0.04015274439926895
1940,Jun,14,Plato,Two hazy streaks of medium intensity,much complex detail,two hazi streak medium intens,0,-0.11745984371240797,-0.03405082700005868
1940,Jul,14,Tycho,Curious faint milky-looking luminosity seen. Luminous marks in shadow were ragged-edged and irregularly shaped,Haas,curiou faint luminos lumin mark shadow irregularli shape,0,-0.14149793032172625,-0.06692809097177495
1940,Oct,19,Lichtenberg area,Pronounced reddish-brown or orange color around area. Found color less marked next night,and slight by,pronounc orang color around found color less mark next night,0,-0.14776843423160607,-0.04058275663006685
1940,Oct,29,Cusps,Prolongation of N horn by 15 degrees,Vaughan,prolong n horn degre,0,-0.1240667440975652,-0.04103146802598737
1940,Dec,2,Aristarchus,Distinguished crater in dark hemisphere as a bright spot,Vaughan,distinguish crater dark hemispher bright spot,2,0.4803826535869432,-0.07250807926345544
1940,Dec,9,Tycho,Found some luminosity on W crater rim of W outer slope,Barcroft,found luminos w crater rim w outer slope,0,-0.11826195134390996,-0.05919725479102043
1940,Dec,25,Cusps,Each horn appeared prolonged by about 10 degrees,Haas,horn appear prolong degre,0,-0.13283772326139134,-0.05276860121627688
1941,Jan,6,Arzachel,Anomalous shadow,Barcroft,anomal shadow,0,-0.15255496613581696,-0.0701570463968254
1941,Feb,6,Conon,Faint bright spot,not too definite in outline,faint bright spot,2,0.46342421083672314,-0.09886404446920327
1941,Mar,6,Cusps,Prolongation suspected,Barcroft,prolong suspect,0,-0.12626225146415748,-0.040882695077930936
1941,Mar,31,Aristarchus,Crater perceived by earthshine (Haas thought it must have been unusually brilliant),Barcroft,crater perceiv earthshin thought must unusu,0,-0.12697376068582064,-0.07310903648605324
1941,Jul,10,Gassendi,and near Hansteen,Moving luminous speck near Hansteen: estimated diameter 0.1,near hansteen,0,-0.1142117208495792,-0.05879058358630527
1942,Feb,2,W of Kepler: 55 min,Whitish glow near earthlit limb,Y.W.L. Fisher,whitish glow near earthlit limb,0,-0.13187920858412183,-0.07764652071152404
1942,Aug,26,Atlas,Dark areas faded in crater,Haas,dark area fade crater,1,-0.09969103107439031,-0.056014949548875224
1944,Apr,4,Hyginus N (Klein N),Much darker than usual,Wilkins,much darker usual,0,-0.12066515551238326,-0.036905271903442324
1944,Aug,12,Plato,Exceptional darkness of crater floor,three light spots noted at foot of E wall. Although no light streaks were visible,except dark crater floor,0,-0.1152270669502495,-0.07491727581822777
1944,Aug,31,Schickard,Mist on crater floor,Wilkins,mist crater floor,0,-0.15273390472287424,-0.11777504769872957
1945,Oct,19,11h23m50s,Plato,Bright flash on crater floor near E wall,plato,0,-0.11887181615959029,-0.03721204530093617
1945,Oct,19,Darwin,Three brilliant points of light on wall,Moore,three brilliant point light wall,0,-0.03556232515738253,-0.0223915507743719
1947,Jan,30,Eratosthenes,Without normal shadow,H. Hill,without normal shadow,0,-0.14293208219086015,-0.06005254739647112
1947,Aug,28,SE of Langrenus,Mountain on limb very decidedly bluish,Baum,mountain limb decidedli bluish,0,-0.13298565936518789,-0.027744350497223225
1947,Nov,30,Aristarchus,Bright spots on inner W slopes,Favarger,bright spot inner w slope,2,0.2504525696434514,-0.06328488780641425
1948,Feb,17,Dawes,Central peak not seen,but cleft-like marking from SW crest towards E shadow,central peak seen,0,-0.13852825861678966,-0.05847315913359264
1948,Apr,14,,Prolongation of southern cusp,Wilkins,prolong southern cusp,0,-0.1281134065488571,-0.04147173113076229
1948,Apr,15,30 degrees N of Grimaldi on W limb,Bright spot on earthlit W limb 30 degrees N of Grimaldi and estimated equal to a 3rd mag star,Vince,bright spot earthlit w limb degre n grimaldi estim equal mag star,0,0.17368227002584233,-0.09536253402417982
1948,May,20,NE of Philolaus: 15 min,Red glow,Baum,red glow,0,-0.19344238852959006,-0.17348264893172635
1948,Jul,21,Mare Crisium: several hours,Almost featureless apart from Picard,Peirce,almost featureless apart picard,0,-0.12012555807070664,-0.03970021257749926
1948,Jul,27,Promontorium Heraclides,Blurred and misty,Moore,blur misti,0,-0.1281575686871957,-0.04369636714974318
1948,Aug,8,Dark side,A small bright flash on earthlit portion ... like a bright sparkle of frost on the ground,Woodward,small bright flash earthlit portion like bright sparkl frost ground,0,0.12926962438767398,-0.06810122059274135
1948,Aug,16,E of Picard: several hours,Two areas E of Picard appeared featureless,Moore,two area e picard appear featureless,1,-0.12830584596466765,-0.07489373472270502
1948,Oct,8,Barkers Quadrangle,Nebulous white patch in place of Quadrangle,Moore,nebul white patch place quadrangl,0,-0.14064112156797035,-0.10024654831090267
1948,Oct,19,Promontorium Heraclides,Blurred,Docherty,blur,0,-0.12492084546914296,-0.03927672208014848
1949,Feb,7,Kepler,White glow near Kepler,Y.W.I. Fisher,white glow near kepler,0,-0.14008891537877946,-0.095250990021384
1949,Feb,9,Barkers Quadrangle,Quadrangle not seen ... appeared misty,Moore,quadrangl seen appear misti,0,-0.13748999819479266,-0.06569902702232858
1949,Feb,10,Schroters Valley near Cobrahead,Diffuse patch of thin smoke or vapor from W side of Schroters Valley near Cobrahead,spreading into plain: detail indistinct,diffus patch thin smoke vapor w side schroter valley near cobrahead,0,-0.13017089605043383,-0.08062566686574864
1949,Mar,3,Barkers Quadrangle,Whole area hazy,Moore,whole area hazi,1,-0.12796098422963237,-0.016473538323100865
1949,May,1,Aristarchus,Visible in earthshine,glowing suddenly as diffuse light patch,visibl earthshin,0,-0.1190746168519002,-0.040722172241620384
1949,Oct,7,Aristarchus,Abnormally bright during lunar eclipse,G.Brown,abnorm bright lunar eclips,0,0.10410377681865429,-0.07191735915101323
1949,Nov,3,Aristarchus,Blue glare,base inner W wall,blue glare,0,-0.19790430298416617,0.5086374277176501
1950,Jun,27,Aristarchus,Blue glare,base inner W wall,blue glare,0,-0.19790430298416617,0.5086374277176501
1950,Jun,27,Herodotus,Bright point in crater,Bartlett,bright point crater,0,0.16016596596877336,-0.09761728084216638
1950,Jun,28,Aristarchus,Blue glare,rim of W wall,blue glare,0,-0.19790430298416617,0.5086374277176501
1950,Jun,29,Aristarchus,Strong bluish glare: E,SE wall,strong bluish e,0,-0.14321044483028644,0.15984758265087853
1950,Jul,26,Aristarchus,Blue glare,base inner W wall,blue glare,0,-0.19790430298416617,0.5086374277176501
1950,Jul,31,Aristarchus,Violet glare,E,violet glare,3,-0.14649158614536245,0.7469523172520911
1950,Aug,28,Aristarchus,Intense blue-violet glare: E wall bright spot,E,intens e wall bright spot,2,0.5176475092044737,0.10363391667224746
1951,Jan,21,E of Lichtenberg,Red patch,Baum,red patch,0,-0.2014471612381245,-0.20043211011800147
1951,Feb,4,W of Endymion: 2hr,Mist over peak,Baum,mist peak,0,-0.13685476339182912,-0.046203388574404966
1951,May,17,Gassendi,Bright speck of short duration,Wilkins,bright speck short durat,0,0.03921085331748926,-0.033876064672479916
1951,Aug,20,W.H. Pickering (Messier A),Brilliant white patch inside crater,Moore,brilliant white patch insid crater,0,-0.1479733831170899,-0.12633206530005495
1951,Oct,20,W.H. Pickering (Messier A),Bright circular patch,Moore,bright circular patch,0,0.1851044931078862,-0.09971553911191468
1952,Apr,3,,Twenty-one spots were charted,one surrounded by a light area,spot chart,2,0.5333980197399232,-0.1597268935332171
1952,Apr,4,Plato,Obscuration of crater floor,Cragg,obscur crater floor,1,-0.16061471978092745,-0.14075482479214538
1952,Sep,9,Calippus,Broad hazy band of light across floor (observer gave observation low weight,Moore,broad hazi band light across floor gave observ low weight,0,-0.15172812686571444,-0.10299056991427277
1952,Dec,24,Theaetetus,Hazy line of light,Moore,hazi line light,0,-0.13821870071533937,-0.11124684272694806
1953,Apr,18,,Faint extension of cusps,Wilkins,faint extens cusp,0,-0.13389331569245144,-0.05274188407293093
1953,Nov,15,Near Pallas,Very bright spot on illuminated part near terminator seen and photographed,Stuart,bright spot illumin part near termin seen photograph,0,0.12618990240067152,-0.0856594502434921
1954,Mar,23,Atlas,Violet tint in Atlas,Delmotte,violet tint atla,3,-0.12577805950979085,0.3205434342310724
1954,May,10,Crater in Ptolemaeus,Flash,Firsoff,flash,0,-0.11981683533222137,-0.046314605475121534
1954,May,11,Eratosthenes,Central mountain group invisible,though surrounding details very clear,central mountain group invis,0,-0.13524949838803108,-0.04681188722428875
1954,Jul,14,Aristarchus,E wall bright spot: violet glare,Bartlett,e wall bright violet glare,3,0.23823369648165316,0.7257621211476841
1954,Jul,16,Aristarchus,Whole interior of strong violet ting: violet tint in nimbus and N and NE of crater,Bartlett,whole interior strong violet violet tint nimbu n ne crater,3,-0.12931912825594719,0.3777902245640067
1954,Jul,17,Aristarchus,Pale violet tint on surface NE of crater: no color elsewhere,Bartlett,pale violet tint surfac ne color elsewher,3,-0.14506315419162075,0.19929243778598546
1954,Jul,24,Aristarchus,Crater filled with pale violet light,Bartlett,crater fill pale violet light,3,-0.12860048783333522,0.14854037767599146
1954,Aug,11,Aristarchus,Brilliant in red (filter),variable,brilliant red,0,-0.17102583265662488,-0.13436138137714226
1954,Aug,18,Aristarchus,Brilliant blue-violet glare over E and NE walls,Bartlett,brilliant glare e ne wall,0,-0.04176513016437815,0.374506615800473
1954,Sep,8,Proclus,Brightness variation in blue light,Firsoff,bright variat blue light,0,0.03512867769004894,0.00029074201627199295
1954,Oct,8,10,Timocharis,Red glow,timochari,0,-0.12145329452959003,-0.035845839392177704
1954,Oct,11,Aristarchus,Violet tint on floor,E wall and central peak: intermittent,violet tint floor,3,-0.14955284907687733,0.2222009664499104
1954,Oct,12,Aristarchus,Pale violet radiance: S wal,SE,pale violet wal,3,-0.12184432051331638,0.4105796794426354
1954,Oct,12,Aristarchus,Strong violet tint E half of floor: very faint W half of floor and W wall. Dark violet in nimbus: pale violet on plateau,Bartlett,strong violet tint e half faint w half floor w dark violet pale violet plateau,3,-0.13460100054128876,0.3849166413292046
1954,Oct,13,Aristarchus,Bright blue-violet glare,E rim: pale violet radiance within crater and around S wall bright spot. Dark violet in nimbus: pale violet on plateau.,bright glare,0,0.20324840081276468,0.5070353574752123
1954,Oct,13,Aristarchus,Scarcely perceptible violet radiance within crater: wall bands look faint,Bartlett,scarc percept violet radianc within wall band look faint,3,-0.069101194414763,0.16617164422798872
1954,Oct,18,Aristarchus,Strong blue-violet glare,E wall bright spot,strong glare,0,-0.16795448602604876,0.5826746496195724
1954,Nov,5,Copernicus,Bright point,Johnstone,bright point,0,0.21658600831133007,-0.05599876950759359
1954,Nov,7,Kepler,Bright point just outside E wall,Lugo,bright point outsid e wall,0,0.18337333031034397,0.05843945091874803
1954,Nov,12,Bartlett,Bartlett 1967,,bartlett,0,-0.11410029397912765,-0.03180090444102367
1954,Dec,12,Aristarchus,Strong violet glare,E rim,strong violet glare,3,-0.15511128599387616,0.7431574510795098
1955,Jan,8,Aristarchus,Strong violet glare whole length of E rim: brightest SE and around E wall bright spot,Bartlett,strong violet glare whole length e brightest se around e wall bright spot,3,0.1549175756154743,0.4301575474589073
1955,Jan,12,Aristarchus,Blue-violet glare: E wall bright spot,E,e wall bright spot,2,0.7564351786314384,0.09169147368761894
1955,Apr,2,Straight-wall region: 1 hr 40 min,Small craters between Birt and fault invisible at times under excellent viewing conditions,while craterlets on E side were continually observed,small crater birt fault invis time excel view condit,0,-0.11444842294133989,-0.08540814339526308
1955,Apr,5,Aristarchus,E wall and glacis: violet: uncertain,Bartlett,e wall uncertain,0,0.14833670534473442,0.23495897510824676
1955,Apr,24,Near Posidonius,White flash of short duration N of Mare Serenitatis near Posidonius,Wykes,white flash short durat n mare serenitati near posidoniu,0,-0.11887462695169337,-0.06416678223698538
1955,May,5,Aristarchus,Pale violet tint in E half of floor: violet band at base,E side of central peak,pale violet tint e half violet band base,3,-0.13644782583235687,0.32746995251755395
1955,May,24,Near South Pole,Glitter suggesting electrical discharge,Firsoff,glitter suggest electr discharg,0,-0.11953907941605765,-0.035464911866673894
1955,Jun,25,Theophilus,Mistiness: absent the next night,Firsoff,absent next night,0,-0.12347115662000836,-0.029146653824723933
1955,Jul,3,Schroters Valley,Starlike point,Firsoff,starlik point,0,-0.1304910073306113,-0.08621713950997645
1955,Jul,13,Aristarchus,Brilliant in blue and green,Firsoff,brilliant blue green,0,-0.1680170165231659,0.07314432081290567
1955,Aug,3,Aristarchus,Plateau only: pale violet tint,Bartlett,plateau pale violet tint,3,-0.12959694802160054,0.3257724757554549
1955,Aug,3,Manilius,Timocharis,Manilius extraordinarily brilliant: Timocharis bright in blue,timochari,0,-0.12145329452959003,-0.035845839392177704
1955,Aug,26,Near Carpathians: 35 sec,Bright flare on dark side similar to 2nd mag star,McCorkle,bright flare dark side similar mag star,0,0.062083250722408535,-0.04211423330980701
1955,Aug,30,Aristarchus,Floor,base inner W wall,floor,0,-0.16113020577816606,-0.1073658792974152
1955,Sep,7,Copernicus,Brightened in blue,Firsoff,brighten blue,0,-0.16642149440128534,0.06310899309837868
1955,Sep,7,Aristarchus,Strong blue-violet glare: E,NE rim: also E base of central peak. Dark violet,strong e,0,-0.13926532170436612,0.2371723392752956
1955,Sep,8,Aristarchus,Strong bluish glare on E,NE wall,strong bluish glare e,0,-0.16545590735287694,0.4424082881155893
1955,Sep,8,Taurus Mountains,Two flashes from edge of Taurus Mountains,Lambert,two flash edg tauru mountain,0,-0.11978157815129281,-0.05330807071512214
1955,Sep,9,Aristarchus,Floor: blue clay color,Bartlett,blue clay color,0,-0.17739518975806848,0.045139975848374723
1955,Sep,28,Cobrahead,Obscured by brown patch,Bestwick,obscur brown patch,1,-0.17002983229521607,-0.12553659973489276
1955,Oct,2,Aristarchus,Violet glare,E,violet glare,3,-0.14649158614536245,0.7469523172520911
1955,Oct,4,Aristarchus,Pale violet tint: E wall bright spot and whole length of E rim: dark violet in nimbus,Bartlett,pale violet e wall bright spot whole length e dark violet nimbu,3,0.22260674515153103,0.45080043700549866
1955,Oct,4,Aristarchus,Spectrum enhanced in H and K region,Kozyrev,spectrum enhanc h k region,0,-0.1330816173438875,-0.04684082587323707
1955,Oct,5,Aristarchus,Intensely bright blue-violet glare: E wall bright spot,E,intens bright e wall bright spot,2,0.6302330349511187,0.0928904940873747
1955,Oct,31,Aristarchus,Bright blue-violet glare,E,bright glare,0,0.20324840081276468,0.5070353574752123
1955,Oct,31,Aristarchus,Intense blue-violet glare,E,intens glare,0,-0.13440663385993445,0.40692119353620854
1955,Oct,31,Cobrahead,Dark blue obscuration,Milligan,dark blue obscur,1,-0.14622707939340185,0.08445411000241437
1955,Nov,1,Aristarchus,Pale violet tint: E wall bright spot,E,pale violet e wall bright spot,3,0.4594759664894689,0.3805705491026418
1955,Nov,6,Aristarchus,Strong blue-violet glare,E,strong glare,0,-0.16795448602604876,0.5826746496195724
1955,Nov,27,Aristarchus,Floor: blue clay color,Bartlett,blue clay color,0,-0.17739518975806848,0.045139975848374723
1956,Jan,24,W edge of Cavendish: 10 min,Variable point of light,Houghton,variabl point light,0,-0.11999117707725662,-0.11832308338891122
1956,Jan,27,Aristarchus,Violet glare whole length of E wall and around E wall bright spot: violet tint N and NE of crater,Bartlett,violet glare whole length e wall around e wall bright violet tint n ne crater,3,0.08361147232451638,0.5272032643289172
1956,Jan,28,Aristarchus,Pale violet radiance: E,NE rim,pale violet e,3,-0.12184432051331638,0.4105796794426354
1956,Mar,14,,Twilight at S cusp traced 400 mi. beyond cusp. No trace of twilight at N pole. 6 12 inch reflector used. Moon 2 12 days old,Firsoff,twilight cusp trace beyond trace twilight n inch reflector moon day old,0,-0.12884803158876296,-0.049900108265279595
1956,Mar,18,,Anomalous dimming of Tau and 105 Tau before occultation,Firsoff,anomal dim tau tau occult,0,-0.1259838529330606,-0.0441742058553364
1956,Jun,20,Aristarchus,Blue glare,base inner W wall,blue glare,0,-0.19790430298416617,0.5086374277176501
1956,Jun,26,Aristarchus,Intense blue-violet glare: on E wall bright spot. Dark violet in nimbus,Bartlett,intens e wall bright dark violet nimbu,3,0.18737252114146358,0.37421002532912895
1956,Jun,28,Aristarchus,Intense blue-violet glare,E wall bright spot. Dark violet,intens glare,0,-0.13440663385993445,0.40692119353620854
1956,Jun,29,Aristarchus,Faint,blue-violet tint: E wall bright spot,faint,0,-0.1350898917607726,-0.05689066975528939
1956,Jun,30,Aristarchus,Vivid blue-violet glare: E wall bright spot,E,vivid e wall bright spot,2,0.45084228377799407,0.05202261903397636
1956,Jul,28,Aristarchus,Vivid blue-violet glare on central peak,band across E floor to E wall bright spot: on E wall bright spot and E,vivid glare central peak,0,-0.14717305510807002,0.21129780676926327
1956,Oct,16,Aristarchus,Blue glare,base inner W wall,blue glare,0,-0.19790430298416617,0.5086374277176501
1956,Oct,20,Aristarchus,Bright blue-violet glare on E wall bright spot,E,bright glare e wall bright spot,2,0.6457039421256922,0.3756341037527909
1956,Oct,26,Alphonsus,A suspected partial obscuration of the floor based on differences in detail in infrared and ultraviolet photographs,Alter,suspect partial obscur floor base differ detail infrar ultraviolet photograph,1,-0.14277961834317812,-0.06777899919936572
1956,Nov,15,Aristarchus,Faint blue radiance,base inner W wall,faint blue radianc,0,-0.16878635980312506,0.05109804094510994
1956,Nov,16,Aristarchus,Floor: bright bluish tint E of central peak: blue-gray W of central peak,Bartlett,bright bluish tint e central w central peak,0,-0.01670260434982453,0.006653232049587022
1956,Nov,17,Aristarchus,Tycho,Kepler,tycho,0,-0.11588503521972685,-0.03658124201194542
1957,Mar,17,Aristarchus,Strong violet glare: E wall bright spot and whole length of E wall. Dark violet in nimbus: pale violet on plateau,Bartlett,strong violet e wall bright spot whole length e dark violet pale violet plateau,3,0.15656483452326728,0.531831347689001
1957,Mar,18,Aristarchus,Strong violet glare: E wall bright spot,E wall. Very strong violet hue in nimbus,strong violet e wall bright spot,2,0.4532386953414341,0.43498215692102743
1957,Jun,11,Aristarchus,Floor: uniform bluish radiance,Bartlett,uniform bluish radianc,0,-0.13630699917438838,-0.00029429469203951766
1957,Jul,11,Aristarchus,Pale violet radiance in crater and on plateau,Bartlett,pale violet radianc crater plateau,3,-0.1261806653661144,0.23328885059964785
1957,Aug,18,Aristarchus,Pale blue tint on all walls: floor dazzling white,Bartlett,pale blue tint floor dazzl white,0,-0.18468546130441219,0.10727971374268472
1957,Oct,11,Aristarchus,Bright blue-violet: E wall bright spot,E,bright e wall bright spot,2,0.8032935176491095,0.07335220863226306
1957,Oct,12,Aristarchus,Bright blue-violet glare: E wall bright spot,E,bright e wall bright spot,2,0.8032935176491095,0.07335220863226306
1957,Oct,12,Aristarchus: 1 hr,Bright flash: then brownish eccentric patch,Dachille and daughter,bright brownish eccentr patch,0,0.06645120619146472,-0.0777728048372045
1957,Oct,13,Aristarchus,Weak violet glare: whole length of E wall,Bartlett,weak violet whole length e wall,3,-0.006727323350056417,0.37044125314958626
1957,Oct,13,In or near Aristarchus,Bright spot of light (explosion),Haas,bright spot light,2,0.5409839822301808,-0.17989575174180164
1957,Oct,15,Aristarchus,Strong blue-violet glare,whole length of E wall,strong glare,0,-0.16795448602604876,0.5826746496195724
1957,Oct,16,Aristarchus,Faint blue-gray tint: N,NW,faint n,0,-0.1350898917607726,-0.05689066975528939
1958,May,1,Aristarchus,Entire sunlit area of floor,bluish,entir sunlit area floor,1,-0.14129404899975673,-0.08924789433082632
1958,May,4,Aristarchus,Blue-violet glare S side of E wall bright spot: dark violet in nimbus: pale violet on plateau,Bartlett,glare side e wall bright dark violet pale violet plateau,3,0.09002582656379576,0.6106305509410735
1958,May,31,Aristarchus,Pale blue-gray floor: violet band E base of central peak,Bartlett,pale violet band e base central peak,3,-0.14112954433784655,0.18272747628688793
1958,Jun,29,Aristarchus,Floor: very pale bluish tint,Bartlett,pale bluish tint,0,-0.14634397992015608,0.12348202141761698
1958,Jul,2,Aristarchus,Strong violet glare whole length of E wall,involving E wall bright spot: dark violet,strong violet glare whole length e wall,3,-0.05499921978317511,0.6447390389772488
1958,Jul,3,Aristarchus,Bright blue-violet glare: E,NE rim. Dark violet,bright e,2,0.5677595702189234,-0.001642563497034442
1958,Aug,2,Aristarchus,Strong violet glare: E wall bright spot,NE wall. Dark violet,strong violet e wall bright spot,2,0.4532386953414341,0.43498215692102743
1958,Sep,1,Aristarchus,Whole crater filled with pale violet radiance,especially bright on walls. Pale violet N and NE of crater and on plateau,whole crater fill pale violet radianc,3,-0.1287446708211809,0.20716079708060872
1958,Sep,23,Piton,Became enveloped in an obscuring cloud-like mist,Moore,becam envelop obscur mist,1,-0.1408003089612666,-0.06051884145764584
1958,Oct,16,N of Mare Crisium,Bright spot in dark area of moon,Mayemson,bright spot dark area moon,2,0.33401157645219925,-0.07573959779514285
1958,Nov,3,Alphonsus,Reddish glow,followed by effusion of gas,reddish glow,0,-0.15851917037776866,-0.0978313163392331
1958,Nov,19,Alphonsus: 30 min,Diffuse cloud over central mountain,Poppendiek,diffus cloud central mountain,0,-0.13651627528898252,-0.054058645297547066
1958,Nov,19,Alpetragius,Portion of shadow in crater vanished,Stein,portion shadow crater vanish,0,-0.13973796736184604,-0.09438860302373427
1958,Nov,19,Alphonsus,Reddish patch close to central peak,Wilkins,reddish patch close central peak,0,-0.15842942976427093,-0.0925267938433182
1958,Nov,22,Alphonsus,Gray spot,Bartha,gray spot,0,0.14250401647862462,-0.08813957539983415
1958,Dec,19,Alphonsus,Reddish patch close to central peak,Wilkins,reddish patch close central peak,0,-0.15842942976427093,-0.0925267938433182
1959,Jan,22,Aristarchus,Interior,light brilliant blue,interior,0,-0.1277554756184652,-0.02897803508198984
1959,Jan,23,Aristarchus,Brilliant blue interior,Alter,brilliant blue interior,0,-0.16311794785564018,0.047586438584253904
1959,Feb,18,Alphonsus,Red patch,Hole,red patch,0,-0.2014471612381245,-0.20043211011800147
1959,Mar,24,Aristarchus,Strong blue and blue-violet glares: E wall,E wall bright spot,strong blue e wall,0,-0.04340275467800734,0.3669328182614684
1959,Mar,25,Aristarchus,Intense blue-violet glare on whole length of E rim and on E wall bright spot: dark violet hue in nimbus,Bartlett,intens glare whole length e rim e wall bright dark violet hue nimbu,3,0.06619531606695005,0.4821115927012486
1959,Apr,19,W of Mare Humorum,Bright point to W of mare,McFarlane,bright point w mare,0,0.11125346398080364,-0.05494637493581954
1959,Sep,5,Aristarchus,Irregular,intermittent starlike point of light,irregular,0,-0.11410029397912765,-0.03180090444102367
1959,Sep,13,Littrow,Obliterated by a hovering cloud (Feist disagrees with Bradford),Bradford,obliter hover cloud disagre,0,-0.12667125050344777,-0.0491450235977312
1959,Oct,23,Alphonsus,Red glow seen. Spectrum showed unusual features,Kozyrev,red glow spectrum show unusu featur,0,-0.17389328944592516,-0.11958056304220994
1960,Jan,6,Alphonsus,Red spot,Warner,red spot,2,0.20096126887742283,-0.22376841771296047
1961,Feb,15,Aristarchus,Plato,Seen as bright features during solar eclipse (on film of eclipse shown by BBC,plato,0,-0.11887181615959029,-0.03721204530093617
1961,May,30,Aristarchus,Enhancement of spectrum in UV,Grainger,enhanc spectrum uv,0,-0.1364435809026895,-0.04911664324594553
